date;data_mean_global;data_mean_nh;data_mean_sh
1892-8-15;290.787705883895;288.473913521581;293.101498246209
1892-9-15;290.784873152327;288.619909149458;292.949837155196
1892-10-15;291.861186902284;290.782117064513;292.940256740055
1892-11-15;292.900924982919;292.711615594923;293.090234370915
1892-12-15;293.566686625315;293.99180793323;293.141565317401
1893-1-15;294.041798633075;294.823061901074;293.260535365077
1893-2-15;294.443913578808;295.498780606989;293.389046550626
1893-3-15;294.802708023569;296.156960767684;293.448455279454
1893-4-15;295.059163290129;296.703427516231;293.414899064028
1893-5-15;295.014586108296;296.609214202114;293.419958014478
1893-6-15;294.291415169988;295.089781411185;293.49304892879
1893-7-15;292.671135726117;291.8209312096;293.521340242634
1893-8-15;291.099266176315;288.796913407703;293.401618944927
1893-9-15;291.089614606192;288.93181639566;293.247412816724
1893-10-15;292.158717729655;291.081583918094;293.235851541216
1893-11-15;293.19366458119;293.00045766358;293.386871498801
1893-12-15;293.858003634949;294.275921987664;293.440085282233
1894-1-15;294.340907747984;295.120730734092;293.561084761875
1894-2-15;294.745861706318;295.799459953071;293.692263459565
1894-3-15;295.108268274283;296.461769732014;293.754766816552
1894-4-15;295.368700220711;297.013304370837;293.724096070585
1894-5-15;295.329048984608;296.926258108511;293.731839860705
1894-6-15;294.611135493286;295.415324997681;293.806945988892
1894-7-15;292.993717093668;292.151017157512;293.836417029825
1894-8-15;291.421842559652;289.126026958449;293.717658160856
1894-9-15;291.411541275211;289.259083385016;293.563999165406
1894-10-15;292.478586704199;291.405310057045;293.551863351353
1894-11-15;293.510684073475;293.319670330962;293.701697815987
1894-12-15;294.171692741863;294.590897448529;293.752488035197
1895-1-15;294.650752657032;295.431872173664;293.869633140401
1895-2-15;295.051800959878;296.106760152036;293.99684176772
1895-3-15;295.410134547676;296.765391834721;294.054877260631
1895-4-15;295.66634734428;297.313650179087;294.019044509473
1895-5-15;295.62330063688;297.225249598067;294.021351675693
1895-6-15;294.902636684891;295.71456338339;294.090709986393
1895-7-15;293.280918715992;292.447352592801;294.114484839183
1895-8-15;291.703158327726;289.415233418904;293.991083236547
1895-9-15;291.68791790265;289.541888445359;293.83394735994
1895-10-15;292.750653279536;291.682069344278;293.819237214794
1895-11-15;293.780056047874;293.591826577271;293.968285518478
1895-12-15;294.440309147304;294.861112878209;294.019505416399
1896-1-15;294.923984447266;295.70977051559;294.138198378943
1896-2-15;295.32674710112;296.38624683518;294.267247367061
1896-3-15;295.687321755497;297.046883372029;294.327760138965
1896-4-15;295.94616381198;297.597352029967;294.294975593992
1896-5-15;295.905679671579;297.51072881675;294.300630526408
1896-6-15;295.187439707066;296.001362521702;294.373516892431
1896-7-15;293.568607357919;292.736544534863;294.400670180976
1896-8-15;291.994075151374;289.708118457865;294.280031844883
1896-9-15;291.981429315692;289.837906065879;294.124952565504
1896-10-15;293.046100141519;291.980651598045;294.111548684993
1896-11-15;294.076319446002;293.89191214867;294.260726743334
1896-12-15;294.736117869673;295.161189389951;294.311046349394
1897-1-15;295.21807101949;296.008056703204;294.428085335776
1897-2-15;295.618515125015;296.682342103176;294.554688146853
1897-3-15;295.976220536815;297.340159727969;294.612281345662
1897-4-15;296.231890017554;297.887377967693;294.576402067416
1897-5-15;296.187955425718;297.796969563902;294.578941287533
1897-6-15;295.466281234635;296.283610642677;294.648951826592
1897-7-15;293.844796408142;293.015900537221;294.673692279062
1897-8-15;292.268654478525;289.986186881338;294.551122075712
1897-9-15;292.255101502942;290.115440751211;294.394762254673
1897-10-15;293.319894375308;292.258745695558;294.381043055058
1897-11-15;294.351284457918;294.171654789698;294.530914126138
1897-12-15;295.013320605175;295.443478362017;294.583162848333
1898-1-15;295.495785795105;296.288597929669;294.702973660541
1898-2-15;295.900587777722;296.967240735702;294.833934819742
1898-3-15;296.263631256679;297.630620176587;294.896642336771
1898-4-15;296.525305936526;298.18443915757;294.866172715481
1898-5-15;296.488374296571;298.10237443163;294.874374161512
1898-6-15;295.774252174158;296.598557080152;294.949947268164
1898-7-15;294.159052429187;293.338381670838;294.979723187535
1898-8-15;292.58757595857;290.313138249884;294.862013667255
